customer_city,customer_state,total_orders,unique_customers,order_category
areia branca,RN,3,3,Low
areia branca dos assis,PR,3,3,Low
areial,PB,1,1,Low
areias,SP,3,3,Low
areiopolis,SP,3,3,Low
arembepe,BA,2,2,Low
arenapolis,MT,2,2,Low
arenopolis,GO,1,1,Low
aribice,BA,1,1,Low
arinos,MG,8,8,Low
aripuana,MT,8,8,Low
ariquemes,RO,13,12,Low
ariranha,SP,5,5,Low
armacao dos buzios,RJ,28,26,Low
armazem,SC,2,2,Low
arneiroz,CE,2,2,Low
aroeiras,PB,1,1,Low
arraial d ajuda,BA,1,1,Low
arraial d'ajuda,BA,7,7,Low
arraial do cabo,RJ,28,24,Low
arraias,TO,2,2,Low
arroio do meio,RS,9,8,Low
arroio do sal,RS,7,5,Low
arroio do tigre,RS,2,2,Low
arroio dos ratos,RS,9,8,Low
arroio grande,RS,3,3,Low
arroio trinta,SC,1,1,Low
arrozal,RJ,3,3,Low
artur nogueira,SP,40,40,Low
aruana,GO,2,1,Low
aruja,SP,68,65,Low
arvoredo,SC,1,1,Low
arvorezinha,RS,4,3,Low
ascurra,SC,4,4,Low
assai,PR,5,5,Low
assare,CE,1,1,Low
assis,SP,84,79,Low
assis chateaubriand,PR,12,12,Low
assuncao,PB,1,1,Low
astolfo dutra,MG,11,8,Low
astorga,PR,7,6,Low
atalaia,AL,1,1,Low
atalanta,SC,1,1,Low
ataleia,MG,2,2,Low
atibaia,SP,154,149,Low
atilio vivacqua,ES,1,1,Low
augustinopolis,TO,1,1,Low
augusto correa,PA,3,3,Low
augusto pestana,RS,2,2,Low
aurea,RS,2,2,Low
auriflama,SP,10,10,Low
aurilandia,GO,1,1,Low
aurora,CE,3,3,Low
aurora,SC,2,2,Low
aurora do para,PA,1,1,Low
avanhandava,SP,7,7,Low
avare,SP,63,62,Low
avelar,RJ,4,4,Low
avelino lopes,PI,2,2,Low
azurita,MG,3,3,Low
bacabal,MA,11,11,Low
bacaxa,RJ,1,1,Low
bacuri,MA,3,2,Low
bady bassitt,SP,6,6,Low
baependi,MG,8,8,Low
bage,RS,62,61,Low
baianopolis,BA,2,2,Low
baixa grande,BA,1,1,Low
baixa grande do ribeiro,PI,1,1,Low
baixo guandu,ES,8,8,Low
balbinos,SP,1,1,Low
baldim,MG,2,2,Low
balneario arroio do silva,SC,4,4,Low
balneario barra do sul,SC,4,4,Low
balneario camboriu,SC,97,95,Low
balneario gaivota,SC,3,3,Low
balneario picarras,SC,8,8,Low
balneario pinhal,RS,7,6,Low
balneario rincao,SC,3,3,Low
balsa nova,PR,1,1,Low
balsamo,SP,6,5,Low
balsas,MA,17,16,Low
bambui,MG,18,18,Low
banabuiu,CE,1,1,Low
bananal,SP,5,5,Low
bananeiras,PB,5,5,Low
bandeira,MG,3,3,Low
bandeira do sul,MG,2,2,Low
bandeirantes,MS,1,1,Low
bandeirantes,PR,13,13,Low
bandeirantes d'oeste,SP,1,1,Low
bandeirantes do tocantins,TO,2,2,Low
banzae,BA,1,1,Low
barao,RS,1,1,Low
barao ataliba nogueira,SP,1,1,Low
barao de cocais,MG,18,18,Low
barao de cotegipe,RS,2,1,Low
barao de juparana,RJ,1,1,Low
barao do triunfo,RS,1,1,Low
barauna,RN,1,1,Low
barbacena,MG,79,73,Low
barbalha,CE,6,6,Low
barbosa ferraz,PR,3,2,Low
barcarena,PA,6,6,Low
bariri,SP,15,15,Low
barra,BA,2,2,Low
barra bonita,SP,28,26,Low
barra da estiva,BA,7,6,Low
barra de guabiraba,PE,2,2,Low
barra de santa rosa,PB,1,1,Low
barra de santo antonio,AL,2,2,Low
barra de sao francisco,ES,9,8,Low
barra de sao joao,RJ,13,13,Low
barra de sao miguel,AL,2,2,Low
barra do bugres,MT,4,3,Low
barra do choca,BA,3,3,Low
barra do corda,MA,7,7,Low
barra do garcas,MT,25,24,Low
barra do jacare,PR,1,1,Low
barra do mendes,BA,3,3,Low
barra do pirai,RJ,49,46,Low
barra do ribeiro,RS,5,5,Low
barra do rio azul,RS,1,1,Low
barra do tarrachil,BA,3,1,Low
barra do turvo,SP,3,3,Low
barra dos coqueiros,SE,3,3,Low
barra longa,MG,1,1,Low
barra mansa,RJ,119,117,Low
barra velha,SC,15,15,Low
barracao,PR,1,1,Low
barracao,RS,2,2,Low
barras,PI,3,3,Low
barreira,CE,1,1,Low
barreiras,BA,51,50,Low
barreirinhas,MA,4,4,Low
barreiros,PE,5,5,Low
barretos,SP,69,68,Low
barrinha,SP,18,15,Low
barro,CE,4,4,Low
barro alto,BA,2,2,Low
barro alto,GO,1,1,Low
barro preto,BA,1,1,Low
barrocas,BA,1,1,Low
barrolandia,TO,2,2,Low
barros cassal,RS,3,3,Low
barroso,MG,11,11,Low
barueri,SP,419,406,Low
bastos,SP,17,15,Low
bataguassu,MS,5,5,Low
bataipora,MS,1,1,Low
batalha,AL,3,3,Low
batatais,SP,27,25,Low
bataypora,MS,2,2,Low
baturite,CE,3,3,Low
bauru,SP,263,257,Low
bayeux,PB,7,7,Low
bebedouro,SP,51,50,Low
beberibe,CE,3,3,Low
bela cruz,CE,4,4,Low
bela vista,MS,3,3,Low
bela vista de goias,GO,7,7,Low
bela vista de minas,MG,1,1,Low
bela vista do maranhao,MA,1,1,Low
bela vista do paraiso,PR,3,3,Low
belem,AL,2,2,Low
belem,PA,428,418,Low
belem,PB,1,1,Low
belem do sao francisco,PE,2,2,Low
belford roxo,RJ,104,102,Low
belmonte,BA,1,1,Low
belmonte,SC,1,1,Low
belo campo,BA,3,3,Low
belo horizonte,MG,2697,2606,Medium
belo jardim,PE,11,11,Low
belo oriente,MG,5,5,Low
belo vale,MG,3,3,Low
bemposta,RJ,1,1,Low
benedito leite,MA,1,1,Low
benedito novo,SC,6,6,Low
benevides,PA,2,2,Low
bento de abreu,SP,2,2,Low
bento goncalves,RS,53,51,Low
bequimao,MA,1,1,Low
berilo,MG,1,1,Low
berizal,MG,1,1,Low
bernardino de campos,SP,4,4,Low
bertioga,SP,47,46,Low
bertolinia,PI,1,1,Low
bertopolis,MG,1,1,Low
betim,MG,196,195,Low
bezerros,PE,10,10,Low
bias fortes,MG,2,2,Low
bicas,MG,7,6,Low
biguacu,SC,22,22,Low
bilac,SP,7,6,Low
birigui,SP,78,75,Low
biritiba-mirim,SP,10,10,Low
biritinga,BA,1,1,Low
bituruna,PR,5,5,Low
blumenau,SC,181,176,Low
boa esperanca,ES,7,6,Low
boa esperanca,MG,11,10,Low
boa esperanca,PR,1,1,Low
boa esperanca,RJ,1,1,Low
boa esperanca do iguacu,PR,1,1,Low
boa esperanca do sul,SP,11,11,Low
boa ventura,RJ,1,1,Low
boa viagem,CE,3,3,Low
boa vista,RR,40,39,Low
boa vista da aparecida,PR,4,4,Low
boa vista das missoes,RS,1,1,Low
boa vista do burica,RS,1,1,Low
boa vista do cadeado,RS,1,1,Low
boa vista do gurupi,MA,2,2,Low
boa vista do sul,RS,1,1,Low
boca da mata,AL,2,2,Low
bocaina,PI,1,1,Low
bocaina,SP,6,5,Low
bocaiuva,MG,13,12,Low
bocaiuva do sul,PR,2,2,Low
bodo,RN,1,1,Low
bodoco,PE,2,2,Low
bodoquena,MS,2,1,Low
bofete,SP,5,5,Low
boituva,SP,47,45,Low
bom conselho,PE,7,7,Low
bom despacho,MG,38,38,Low
bom jardim,MA,1,1,Low
bom jardim,PE,1,1,Low
bom jardim,RJ,14,14,Low
bom jardim de goias,GO,1,1,Low
bom jardim de minas,MG,8,8,Low
bom jesus,GO,8,7,Low
bom jesus,PI,3,3,Low
bom jesus,SC,2,2,Low
bom jesus da lapa,BA,9,9,Low
bom jesus da penha,MG,2,1,Low
bom jesus da serra,BA,2,2,Low
bom jesus das selvas,MA,2,2,Low
bom jesus do amparo,MG,1,1,Low
bom jesus do araguaia,MT,1,1,Low
bom jesus do galho,MG,4,4,Low
bom jesus do itabapoana,RJ,20,20,Low
bom jesus do norte,ES,4,4,Low
bom jesus do querendo,RJ,1,1,Low
bom jesus do sul,PR,1,1,Low
bom jesus do tocantins,PA,3,2,Low
bom jesus dos perdoes,SP,17,16,Low
bom principio,RS,6,6,Low
bom repouso,MG,4,4,Low
bom retiro,SC,1,1,Low
bom retiro do sul,RS,2,2,Low
bom sucesso,MG,4,4,Low
bom sucesso,PR,1,1,Low
bombinhas,SC,15,15,Low
bonfim,MG,4,4,Low
bonfim,RR,1,1,Low
bonfim paulista,SP,18,18,Low
bonfinopolis,GO,2,2,Low
bonfinopolis de minas,MG,2,2,Low
boninal,BA,2,2,Low
bonito,BA,2,2,Low
bonito,MS,8,8,Low
bonito,PA,2,2,Low
bonito,PE,5,5,Low
bonito de minas,MG,1,1,Low
bonito de santa fe,PB,1,1,Low
boqueirao do leao,RS,2,2,Low
boquira,BA,1,1,Low
bora,SP,1,1,Low
boraceia,SP,1,1,Low
borborema,SP,8,8,Low
borda da mata,MG,6,6,Low
borrazopolis,PR,2,2,Low
bossoroca,RS,1,1,Low
botelho,SP,1,1,Low
botelhos,MG,8,8,Low
botucatu,SP,100,98,Low
botupora,BA,1,1,Low
botuvera,SC,2,2,Low
braco do norte,SC,20,20,Low
braco do rio,ES,2,2,Low
braganca,PA,9,9,Low
braganca paulista,SP,144,140,Low
bras pires,MG,2,2,Low
brasil novo,PA,3,3,Low
brasilandia,MS,1,1,Low
brasilandia de minas,MG,1,1,Low
brasileia,AC,1,1,Low
brasilia,DF,2071,2013,Medium
brasilia de minas,MG,9,8,Low
brasopolis,MG,1,1,Low
brauna,SP,5,5,Low
braunas,MG,1,1,Low
brazabrantes,GO,2,2,Low
brazopolis,MG,6,6,Low
brejetuba,ES,1,1,Low
brejo,MA,1,1,Low
brejo bonito,MG,1,1,Low
brejo da madre de deus,PE,4,4,Low
brejo do cruz,PB,1,1,Low
brejo dos santos,PB,1,1,Low
brejo grande,SE,1,1,Low
brejo santo,CE,10,10,Low
brejoes,BA,1,1,Low
brejolandia,BA,1,1,Low
breu branco,PA,3,3,Low
breves,PA,1,1,Low
britania,GO,1,1,Low
brodowski,SP,9,9,Low
brotas,SP,12,12,Low
brotas de macaubas,BA,1,1,Low
brumadinho,MG,26,26,Low
brumado,BA,21,20,Low
brusque,SC,60,57,Low
bueno brandao,MG,4,4,Low
buenopolis,MG,4,4,Low
buenos aires,PE,2,2,Low
buerarema,BA,3,3,Low
bugre,MG,1,1,Low
buique,PE,1,1,Low
buri,SP,10,10,Low
buritama,SP,9,9,Low
buriti,MA,1,1,Low
buriti alegre,GO,1,1,Low
buriti do tocantins,TO,1,1,Low
buriti dos lopes,PI,2,2,Low
buriticupu,MA,4,4,Low
buritirama,BA,2,2,Low
buritis,MG,13,13,Low
buritis,RO,2,2,Low
buritizal,SP,2,2,Low
buritizeiro,MG,8,8,Low
butia,RS,6,6,Low
caarapo,MS,4,4,Low
cabaceiras do paraguacu,BA,1,1,Low
cabeceira grande,MG,3,2,Low
cabeceiras,GO,1,1,Low
cabedelo,PB,6,6,Low
cabixi,RO,1,1,Low
cabo de santo agostinho,PE,21,21,Low
cabo frio,RJ,113,112,Low
cabo verde,MG,3,3,Low
cabralia paulista,SP,4,4,Low
cabreuva,SP,6,6,Low
cabrobo,PE,6,6,Low
cacador,SC,40,40,Low
cacapava,SP,72,70,Low
cacapava do sul,RS,5,5,Low
cacaulandia,RO,1,1,Low
cacequi,RS,3,3,Low
caceres,MT,25,25,Low
cachoeira,BA,4,4,Low
cachoeira alta,GO,6,6,Low
cachoeira da prata,MG,2,2,Low
cachoeira de minas,MG,6,6,Low
cachoeira de pajeu,MG,3,3,Low
cachoeira do brumado,MG,1,1,Low
cachoeira do campo,MG,2,2,Low
cachoeira do sul,RS,30,30,Low
cachoeira dourada,GO,2,2,Low
cachoeira dourada,MG,1,1,Low
cachoeira paulista,SP,25,25,Low
cachoeiras de macacu,RJ,20,20,Low
cachoeirinha,RS,72,68,Low
cachoeiro de itapemirim,ES,121,117,Low
cacoal,RO,12,12,Low
caconde,SP,10,10,Low
cacu,GO,8,8,Low
cacule,BA,3,3,Low
caem,BA,1,1,Low
caetanopolis,MG,8,8,Low
caete,MG,27,25,Low
caetes,PE,1,1,Low
caetite,BA,10,10,Low
cafeara,PR,2,2,Low
cafelandia,PR,11,10,Low
cafelandia,SP,8,7,Low
caiana,MG,3,3,Low
caiaponia,GO,4,4,Low
caibate,RS,1,1,Low
caibi,SC,3,3,Low
caicara do norte,RN,1,1,Low
caico,RN,10,10,Low
caieiras,SP,97,94,Low
cairu,BA,1,1,Low
caiua,SP,2,2,Low
cajamar,SP,97,95,Low
cajapio,MA,1,1,Low
cajari,MA,1,1,Low
cajati,SP,16,16,Low
cajazeiras,PB,11,11,Low
cajobi,SP,8,8,Low
cajueiro,AL,1,1,Low
cajuri,MG,1,1,Low
cajuru,SP,9,9,Low
calcado,PE,1,1,Low
caldas,MG,5,5,Low
caldas brandao,PB,1,1,Low
caldas do jorro,BA,1,1,Low
caldas novas,GO,36,36,Low
caldeirao grande,BA,2,2,Low
caldeirao grande do piaui,PI,1,1,Low
california,PR,2,2,Low
california da barra,RJ,6,6,Low
calmon,SC,1,1,Low
camacan,BA,6,6,Low
camacari,BA,60,58,Low
camacho,MG,1,1,Low
camamu,BA,8,7,Low
camanducaia,MG,9,9,Low
camapua,MS,6,6,Low
camaqua,RS,12,12,Low
camaragibe,PE,33,31,Low
cambara,PR,9,9,Low
cambara do sul,RS,1,1,Low
cambe,PR,27,27,Low
cambiasca,RJ,1,1,Low
cambira,PR,2,2,Low
camboriu,SC,27,26,Low
cambuci,RJ,8,8,Low
cambui,MG,22,20,Low
cambuquira,MG,5,5,Low
cameta,PA,4,4,Low
camocim,CE,8,8,Low
camocim de sao felix,PE,2,2,Low
campanario,MG,2,2,Low
campanha,MG,7,7,Low
campestre,MG,3,3,Low
campestre da serra,RS,2,2,Low
campestre do maranhao,MA,2,2,Low
campina da lagoa,PR,2,2,Low
campina das missoes,RS,2,2,Low
campina do monte alegre,SP,2,2,Low
campina grande,PB,67,67,Low
campina grande do sul,PR,9,9,Low
campina verde,MG,10,10,Low
campinacu,GO,1,1,Low
campinapolis,MT,3,2,Low
campinas,SP,1406,1363,Medium
campinas do sul,RS,6,6,Low
campinorte,GO,7,7,Low
campo alegre,AL,2,1,Low
campo alegre,SC,2,2,Low
campo alegre de goias,GO,2,2,Low
campo alegre de lourdes,BA,1,1,Low
campo alegre de minas,MG,1,1,Low
campo alegre do fidalgo,PI,1,1,Low
campo azul,MG,1,1,Low
campo belo,MG,21,21,Low
campo bom,RS,35,35,Low
campo do brito,SE,1,1,Low
campo do meio,MG,4,4,Low
campo do tenente,PR,1,1,Low
campo ere,SC,7,7,Low
campo florido,MG,1,1,Low
campo formoso,BA,10,10,Low
campo grande,MS,312,308,Low
campo grande do piaui,PI,1,1,Low
campo largo,PR,36,36,Low
campo limpo paulista,SP,47,46,Low
campo magro,PR,1,1,Low
campo maior,PI,7,7,Low
campo mourao,PR,56,54,Low
campo novo,RS,2,2,Low
campo novo do parecis,MT,15,15,Low
campo verde,MT,10,10,Low
campos altos,MG,5,5,Low
campos belos,GO,7,7,Low
campos borges,RS,3,3,Low
campos de julio,MT,6,6,Low
campos do jordao,SP,25,23,Low
campos dos goytacazes,RJ,232,229,Low
campos gerais,MG,4,4,Low
campos novos,SC,14,14,Low
campos sales,CE,4,4,Low
campos verdes,GO,1,1,Low
camutanga,PE,3,3,Low
canaa,MG,1,1,Low
canaa dos carajas,PA,9,9,Low
cananeia,SP,8,8,Low
canapi,AL,1,1,Low
canapolis,BA,1,1,Low
canapolis,MG,5,4,Low
canarana,BA,1,1,Low
canarana,MT,10,10,Low
canavieiras,BA,6,6,Low
candeal,BA,1,1,Low
candeias,BA,12,11,Low
candeias,MG,9,8,Low
candeias do jamari,RO,1,1,Low
candelaria,RS,4,4,Low
candido de abreu,PR,4,4,Low
candido godoi,RS,1,1,Low
candido mendes,MA,1,1,Low
candido mota,SP,16,16,Low
candido rodrigues,SP,4,2,Low
candido sales,BA,3,3,Low
candiota,RS,4,4,Low
candoi,PR,1,1,Low
canela,RS,17,17,Low
canelinha,SC,4,4,Low
cangucu,RS,12,11,Low
canhotinho,PE,2,2,Low
caninde,CE,5,5,Low
caninde de sao francisco,SE,2,2,Low
canitar,SP,2,2,Low
canoas,RS,205,197,Low
canoinhas,SC,27,27,Low
cansancao,BA,7,5,Low
cantagalo,MG,2,2,Low
cantagalo,PR,2,2,Low
cantagalo,RJ,17,15,Low
cantanhede,MA,1,1,Low
canto do buriti,PI,1,1,Low
canudos,BA,1,1,Low
capanema,PA,3,3,Low
capanema,PR,9,8,Low
capao bonito,SP,28,23,Low
capao da canoa,RS,38,38,Low
capao da porteira,RS,2,2,Low
capao do cipo,RS,3,3,Low
capao do leao,RS,4,4,Low
caparao,MG,1,1,Low
capela,SE,3,2,Low
capela de santana,RS,2,2,Low
capela do alto,SP,3,3,Low
capela do alto alegre,BA,1,1,Low
capela nova,MG,1,1,Low
capelinha,MG,19,19,Low
capetinga,MG,2,2,Low
capim branco,MG,2,1,Low
capim grosso,BA,5,5,Low
capinopolis,MG,11,11,Low
capinzal,SC,10,10,Low
capinzal do norte,MA,2,2,Low
capistrano,CE,1,1,Low
capitao,RS,1,1,Low
capitao andrade,MG,1,1,Low
capitao eneas,MG,1,1,Low
capitao leonidas marques,PR,5,5,Low
capitao poco,PA,3,3,Low
capitolio,MG,5,5,Low
capivari,SP,32,32,Low
capivari de baixo,SC,5,5,Low
capivari do sul,RS,1,1,Low
capoeiras,PE,1,1,Low
caputira,MG,2,2,Low
caracol,MS,1,1,Low
caraguatatuba,SP,83,82,Low
carai,MG,6,6,Low
caraiba,PE,2,2,Low
caraibas,BA,1,1,Low
carajas,PA,4,4,Low
carambei,PR,3,3,Low
carandai,MG,11,11,Low
carangola,MG,25,24,Low
carapebus,RJ,5,5,Low
carapicuiba,SP,316,309,Low
caratinga,MG,62,61,Low
caraubas,RN,3,3,Low
caravelas,BA,3,3,Low
carazinho,RS,23,23,Low
carbonita,MG,4,3,Low
cardoso,SP,6,6,Low
cardoso moreira,RJ,6,6,Low
careacu,MG,2,2,Low
cariacica,ES,135,132,Low
caridade,CE,1,1,Low
carinhanha,BA,2,2,Low
carire,CE,3,3,Low
cariri do tocantins,TO,2,2,Low
caririacu,CE,2,2,Low
carius,CE,3,3,Low
carlinda,MT,2,2,Low
carlopolis,PR,6,6,Low
carlos barbosa,RS,19,19,Low
carlos chagas,MG,2,2,Low
carmesia,MG,1,1,Low
carmo,RJ,12,12,Low
carmo da cachoeira,MG,4,4,Low
